colour	x	y	clickSelects	showSelected1	fill
#00BCD8	0.139662772238824	-0.354780632439099	9	4	#00BCD8
#00B0F6	-0.0532450946823902	0.0819984644180086	10	4	#00B0F6
#619CFF	0.0593433782738554	-0.10151596349581	11	4	#619CFF
#B983FF	-0.0840071888673597	0.0297796950785665	12	4	#B983FF
#E76BF3	0.132214759773299	-0.0795353364857968	13	4	#E76BF3
#FD61D1	-0.169677668931858	0.129102611698924	14	4	#FD61D1
#FF67A4	0.0416669841032634	0.155102123422292	15	4	#FF67A4
#F8766D	0.0323463338735996	-0.11626898779993	1	5	#F8766D
#E58700	-0.0454027478718613	-0.245695465462222	2	5	#E58700
#C99800	0.0489656647004528	-0.0891150468634884	3	5	#C99800
#A3A500	-0.0644970504308651	0.0249766143388714	4	5	#A3A500
#6BB100	0.0526852319375308	-0.289284811928551	5	5	#6BB100
#00BA38	0.191261014313023	0.0851630852508367	6	5	#00BA38
#00BF7D	0.103050484899486	0.0222026541344855	7	5	#00BF7D
#00C0AF	-0.0725722918112004	-0.161005889304449	8	5	#00C0AF
#00BCD8	0.228846357495368	-0.260423664421722	9	5	#00BCD8
#00B0F6	0.0212908441988888	0.0629684883199245	10	5	#00B0F6
#619CFF	0.0138746277065718	-0.118420668869505	11	5	#619CFF
#B983FF	-0.154601364823448	0.0406568394548145	12	5	#B983FF
#E76BF3	0.165721068298014	-0.0939283053944838	13	5	#E76BF3
#FD61D1	-0.146212494161586	0.105599040332222	14	5	#FD61D1
#FF67A4	0.0297036881528762	0.132728998998795	15	5	#FF67A4
#F8766D	0.00140485100383339	-0.103620835227151	1	6	#F8766D
#E58700	-0.0830711566222044	-0.209081622835509	2	6	#E58700
#C99800	0.0288363290617333	-0.230265052795869	3	6	#C99800
#A3A500	-0.0413483590604051	0.131620100642144	4	6	#A3A500
#6BB100	0.0391608975647867	-0.276858544474701	5	6	#6BB100
#00BA38	0.193166838046492	0.1048665327447	6	6	#00BA38
#00BF7D	0.0278462250171393	-0.057141885585782	7	6	#00BF7D
#00C0AF	-0.118928195648113	-0.122196037321222	8	6	#00C0AF
#00BCD8	0.189812135495753	-0.324352015625737	9	6	#00BCD8
#00B0F6	0.0212194377876253	-0.0295804178702195	10	6	#00B0F6
#619CFF	0.0364498944537806	-0.140068021601085	11	6	#619CFF
#B983FF	-0.118921219857742	0.0886916129673407	12	6	#B983FF
#E76BF3	0.18479782878454	-0.0330246655121256	13	6	#E76BF3
#FD61D1	-0.147069357187986	0.103688565697118	14	6	#FD61D1
#FF67A4	0.091890407895576	0.0849360617383691	15	6	#FF67A4
#F8766D	0.0471761127620756	-0.15058773400451	1	7	#F8766D
#E58700	-0.0774649156450721	-0.181430991904855	2	7	#E58700
#C99800	0.0554234272234083	-0.27395317226783	3	7	#C99800
#A3A500	-0.050690822705626	0.120934576240068	4	7	#A3A500
#6BB100	0.0289603339138521	-0.190873082448685	5	7	#6BB100
#00BA38	0.203268512157362	0.130499321620342	6	7	#00BA38
#00BF7D	0.100466225616487	-0.0389486123271117	7	7	#00BF7D
#00C0AF	-0.162720642971318	-0.122924073975776	8	7	#00C0AF
#00BCD8	0.153587477252397	-0.225883510901387	9	7	#00BCD8
#00B0F6	-0.00560068355992411	-0.0308920348713708	10	7	#00B0F6
#619CFF	0.0282482767844565	-0.209231774795887	11	7	#619CFF
#B983FF	-0.0977456566500362	0.0491671673886821	12	7	#B983FF
#E76BF3	0.24529407121881	0.0117011729432322	13	7	#E76BF3
#FD61D1	-0.152129284247113	0.118544694169981	14	7	#FD61D1
#FF67A4	0.101755294056773	0.0770868745073219	15	7	#FF67A4
#F8766D	0.124004663341586	-0.258971218042413	1	8	#F8766D
#E58700	-0.0475425080760571	-0.179275373931273	2	8	#E58700
#C99800	0.1201747867696	-0.238638025480957	3	8	#C99800
#A3A500	-0.0334135689377496	0.116939743572742	4	8	#A3A500
#6BB100	0.0517007112864308	-0.12706046398716	5	8	#6BB100
#00BA38	0.266510394472166	0.143961998138298	6	8	#00BA38
#00BF7D	0.0944390209446003	0.000814955206076252	7	8	#00BF7D
#00C0AF	-0.18842202517297	-0.143253747345361	8	8	#00C0AF
#00BCD8	0.214573426201519	-0.221697942389092	9	8	#00BCD8
#00B0F6	0.0238944239996878	-0.0567629990966804	10	8	#00B0F6
#619CFF	0.066721451115499	-0.169133287743639	11	8	#619CFF
#B983FF	-0.132588663867727	0.108059826303982	12	8	#B983FF
#E76BF3	0.274586334127095	-0.0116435212271369	13	8	#E76BF3
#FD61D1	-0.132846802397903	0.09181441493883	14	8	#FD61D1
#FF67A4	0.154588714125087	0.0667822110255108	15	8	#FF67A4
#F8766D	0.154355275149914	-0.286374410920672	1	9	#F8766D
#E58700	-0.152541324378609	-0.166734735769049	2	9	#E58700
#C99800	0.117427522739021	-0.271624415907967	3	9	#C99800
#A3A500	-0.106206437888182	0.118126214895915	4	9	#A3A500
#6BB100	0.0790961158498693	-0.167505533756415	5	9	#6BB100
#00BA38	0.254559232191813	0.126306061529521	6	9	#00BA38
#00BF7D	0.135418981302897	-0.0164490255115453	7	9	#00BF7D
#00C0AF	-0.247566247966049	-0.194819801735055	8	9	#00C0AF
#00BCD8	0.210818960438944	-0.180268668641616	9	9	#00BCD8
#00B0F6	-0.0279048087696863	-0.0641208045809275	10	9	#00B0F6
#619CFF	0.0526487573135845	-0.237817571214408	11	9	#619CFF
#B983FF	-0.054666156790123	0.0793125744972484	12	9	#B983FF
#E76BF3	0.383953096153687	0.0280710599300596	13	9	#E76BF3
#FD61D1	-0.122718789380844	0.0907119106896698	14	9	#FD61D1
#FF67A4	0.169815258486345	0.0113197489547408	15	9	#FF67A4
#F8766D	0.192628930049198	-0.28747573237856	1	10	#F8766D
#E58700	-0.197741235521393	-0.146734648940804	2	10	#E58700
#C99800	0.0599631431409897	-0.262216034443234	3	10	#C99800
#A3A500	-0.0953419330707846	0.0656719286646538	4	10	#A3A500
#6BB100	0.0753399442076725	-0.245904981845447	5	10	#6BB100
#00BA38	0.195869377386399	0.0188907587192208	6	10	#00BA38
#00BF7D	0.152504753929252	0.0287995163778509	7	10	#00BF7D
#00C0AF	-0.192741725299183	-0.268382848202204	8	10	#00C0AF
#00BCD8	0.196789117210898	-0.137961687791219	9	10	#00BCD8
#00B0F6	-0.0922004946697948	-0.0797425980391079	10	10	#00B0F6
#619CFF	0.0345065952874955	-0.16719487524253	11	10	#619CFF
#B983FF	-0.067426272250234	0.0986634509239667	12	10	#B983FF
#E76BF3	0.410200133412597	0.0588283189187699	13	10	#E76BF3
#FD61D1	-0.139359604033327	0.127978348684611	14	10	#FD61D1
#FF67A4	0.154251988664478	-0.000392823525509884	15	10	#FF67A4
#F8766D	0.134336082830849	-0.299465665892361	1	11	#F8766D
#E58700	-0.138522102102784	-0.136359229588849	2	11	#E58700
#C99800	0.0577815132892175	-0.310769909544651	3	11	#C99800
#A3A500	-0.0666308040655234	0.00267865755266969	4	11	#A3A500
#6BB100	0.128423884559293	-0.267604665817031	5	11	#6BB100
#00BA38	0.207828224644799	-0.00622567186803122	6	11	#00BA38
#00BF7D	0.0673109247304985	0.0549881284492315	7	11	#00BF7D
#00C0AF	-0.114533117595831	-0.391695491690507	8	11	#00C0AF
#00BCD8	0.189348078956666	-0.0324198376287991	9	11	#00BCD8
#00B0F6	-0.109510259246226	-0.0306334707221835	10	11	#00B0F6
#619CFF	0.0540781654970228	-0.192694578090657	11	11	#619CFF
#B983FF	-0.119908593779069	0.10096380852558	12	11	#B983FF
#E76BF3	0.359758724735387	0.0260158352519558	13	11	#E76BF3
#FD61D1	-0.134658707496179	0.128874562432743	14	11	#FD61D1
#FF67A4	0.0740757639128926	0.0237609804265397	15	11	#FF67A4
#F8766D	0.123114941584074	-0.321335558687363	1	12	#F8766D
#E58700	-0.0721336791824148	-0.159783123240121	2	12	#E58700
#C99800	-0.00921637302500612	-0.227498273156221	3	12	#C99800
#A3A500	-0.0396833064586196	0.052647895723326	4	12	#A3A500
#6BB100	0.1454983510056	-0.320536032382165	5	12	#6BB100
#00BA38	0.205748259574347	-0.0708670557092797	6	12	#00BA38
#00BF7D	0.0226177249034809	0.0820835883526265	7	12	#00BF7D
#00C0AF	-0.0660513183683587	-0.403944937587948	8	12	#00C0AF
#00BCD8	0.232357083177901	-0.0662120352380584	9	12	#00BCD8
#00B0F6	-0.134512443664433	0.0609681738108089	10	12	#00B0F6
#619CFF	0.0376145523281124	-0.179629183759421	11	12	#619CFF
#B983FF	-0.175516620350102	0.154074331582457	12	12	#B983FF
#E76BF3	0.370008736943971	-0.0752005505065464	13	12	#E76BF3
#FD61D1	-0.0732899697797018	0.188641768954473	14	12	#FD61D1
#FF67A4	0.112701541254854	-0.046715920891937	15	12	#FF67A4
#F8766D	0.10149344296893	-0.343449964257334	1	13	#F8766D
#E58700	-0.00468406610309569	-0.213514702928897	2	13	#E58700
#C99800	-0.0259704939657658	-0.189956652525289	3	13	#C99800
#A3A500	0.0601770222379321	0.142243287524686	4	13	#A3A500
#6BB100	0.083849535550158	-0.479396519399523	5	13	#6BB100
#00BA38	0.151506172991648	-0.0678288840344497	6	13	#00BA38
#00BF7D	0.0135294173224135	0.0991491390318587	7	13	#00BF7D
#00C0AF	-0.0107117388773254	-0.369504129581631	8	13	#00C0AF
#00BCD8	0.255906670695049	-0.148215386842721	9	13	#00BCD8
#00B0F6	-0.168463601933409	0.0852835766854208	10	13	#00B0F6
#619CFF	0.0489233221045625	-0.211963220599099	11	13	#619CFF
#B983FF	-0.181180910460519	0.180100514567306	12	13	#B983FF
#E76BF3	0.499345888975293	-0.0480909333328768	13	13	#E76BF3
#FD61D1	-0.0200297758788544	0.151134375659933	14	13	#FD61D1
#FF67A4	0.152391096328386	-0.0842040638263384	15	13	#FF67A4
#F8766D	0.116808556385349	-0.27753147078662	1	14	#F8766D
#E58700	-0.0180110766303615	-0.200224394244639	2	14	#E58700
#C99800	0.0310214266782426	-0.23928389355022	3	14	#C99800
#A3A500	0.0264936828462285	0.0470060738971814	4	14	#A3A500
#6BB100	0.0479534311561379	-0.498573620023425	5	14	#6BB100
#00BA38	0.135479325683222	-0.172424922936655	6	14	#00BA38
#00BF7D	-0.0790621781693385	0.121132402647999	7	14	#00BF7D
#00C0AF	-0.00361649710975756	-0.410757085605408	8	14	#00C0AF
#00BCD8	0.187347679896828	-0.146971314522082	9	14	#00BCD8
#00B0F6	-0.0894139773701334	0.0472977753327176	10	14	#00B0F6
#619CFF	0.0219960828982394	-0.224977784570883	11	14	#619CFF
#B983FF	-0.213410975798303	0.24086316135116	12	14	#B983FF
#E76BF3	0.588446019805893	-0.0512928047293636	13	14	#E76BF3
#FD61D1	0.0111942812852359	0.104204618065348	14	14	#FD61D1
#FF67A4	0.0607569255029761	-0.12927835018325	15	14	#FF67A4
#F8766D	0.0692634524159004	-0.319296636060605	1	15	#F8766D
#E58700	0.00929381979233466	-0.119597600007002	2	15	#E58700
#C99800	-0.00163430667263226	-0.241116226187984	3	15	#C99800
#A3A500	0.020962047971324	0.109106345474916	4	15	#A3A500
#6BB100	0.0133322487240955	-0.556845750612827	5	15	#6BB100
#00BA38	0.0826746627714636	-0.136250667336552	6	15	#00BA38
#00BF7D	-0.0610508025846584	0.133943461662408	7	15	#00BF7D
#00C0AF	0.0340278982951495	-0.460388303692569	8	15	#00C0AF
#00BCD8	0.261663995252778	-0.183303997200997	9	15	#00BCD8
#00B0F6	-0.0845814614733943	0.0580409784044464	10	15	#00B0F6
#619CFF	0.0479198571717006	-0.239792929308099	11	15	#619CFF
#B983FF	-0.231011019237592	0.247549142677621	12	15	#B983FF
#E76BF3	0.577102869152575	-0.00813896817900976	13	15	#E76BF3
#FD61D1	0.0914048912420782	0.0819128321616351	14	15	#FD61D1
#FF67A4	0.00127835218800795	-0.116947272651821	15	15	#FF67A4
#F8766D	0.0311889011901267	-0.338995719411805	1	16	#F8766D
#E58700	-0.0771193263019396	-0.106450617092859	2	16	#E58700
#C99800	-0.0824137965876097	-0.246979707636131	3	16	#C99800
#A3A500	0.0372584501887897	0.0140596197627393	4	16	#A3A500
#6BB100	-0.0101580068105638	-0.550653471271275	5	16	#6BB100
#00BA38	0.0263226738740644	-0.156340630350355	6	16	#00BA38
#00BF7D	-0.0607931146944325	0.167570541340546	7	16	#00BF7D
#00C0AF	-0.0382901416490791	-0.517569304066997	8	16	#00C0AF
#00BCD8	0.246622747126741	-0.252749710462637	9	16	#00BCD8
#00B0F6	-0.185955448811567	0.0833017737296025	10	16	#00B0F6
#619CFF	0.0864948387872961	-0.320437076566456	11	16	#619CFF
#B983FF	-0.173889965574971	0.35246380716542	12	16	#B983FF
#E76BF3	0.568734715404613	-0.0214853372568867	13	16	#E76BF3
#FD61D1	0.131145977647624	0.059070547449925	14	16	#FD61D1
#FF67A4	-0.0473067856894021	-0.140574000952724	15	16	#FF67A4
#F8766D	0.078571653312859	-0.288193739716832	1	17	#F8766D
#E58700	0.0104740326391527	-0.054065498572616	2	17	#E58700
#C99800	-0.101306661747327	-0.221574468502547	3	17	#C99800
#A3A500	-0.0162507791886031	0.00684838165176657	4	17	#A3A500
#6BB100	-0.0607432775836681	-0.488502308854555	5	17	#6BB100
#00BA38	0.0223782027086607	-0.196705386199663	6	17	#00BA38
#00BF7D	-0.110603196678566	0.124653980906799	7	17	#00BF7D
#00C0AF	-0.0858270552742671	-0.573658992986518	8	17	#00C0AF
#00BCD8	0.239868936488853	-0.296453397632896	9	17	#00BCD8
#00B0F6	-0.173021499254773	-0.00395529129733987	10	17	#00B0F6
#619CFF	0.0228769320948075	-0.353590655755668	11	17	#619CFF
#B983FF	-0.188717122066148	0.32376548582253	12	17	#B983FF
#E76BF3	0.567426011305155	-0.00849897606395603	13	17	#E76BF3
#FD61D1	0.15781685622586	0.0319671172484783	14	17	#FD61D1
#FF67A4	-0.0304233633595225	-0.152469643964543	15	17	#FF67A4
#F8766D	0.134856541542567	-0.277959344807566	1	18	#F8766D
#E58700	0.0096805498503378	-0.0448056965375515	2	18	#E58700
#C99800	-0.0958951046529512	-0.187874833524102	3	18	#C99800
#A3A500	-0.0638491349893574	-0.0180752829674059	4	18	#A3A500
#6BB100	-0.093419214114978	-0.49480626304568	5	18	#6BB100
#00BA38	-0.00951512044423129	-0.179827016266472	6	18	#00BA38
#00BF7D	-0.112069648900513	0.186090388078852	7	18	#00BF7D
#00C0AF	-0.00656301583894733	-0.589377630646215	8	18	#00C0AF
#00BCD8	0.288656569456455	-0.259348912466281	9	18	#00BCD8
#00B0F6	-0.061748617515207	-0.0788222744733058	10	18	#00B0F6
#619CFF	0.0781805882820771	-0.38000598610334	11	18	#619CFF
#B983FF	-0.119916692758447	0.278644569400238	12	18	#B983FF
#E76BF3	0.558037040074074	-0.0520163186389377	13	18	#E76BF3
#FD61D1	0.169945193304377	0.0928836250765216	14	18	#FD61D1
#FF67A4	-0.0794349063232502	-0.124490043791422	15	18	#FF67A4
#F8766D	0.170876716715453	-0.366791239370667	1	19	#F8766D
#E58700	0.0208833511852595	-0.101804927493599	2	19	#E58700
#C99800	-0.0270501370385085	-0.0988694028811931	3	19	#C99800
#A3A500	-0.0491463266851107	-0.0646574955093076	4	19	#A3A500
#6BB100	-0.0616384276083267	-0.536597495714549	5	19	#6BB100
#00BA38	-0.060509983987962	-0.171753555127599	6	19	#00BA38
#00BF7D	-0.0805533524539658	0.184615384428203	7	19	#00BF7D
#00C0AF	-0.00594753176045982	-0.603954734207661	8	19	#00C0AF
#00BCD8	0.373934412387148	-0.332757899208326	9	19	#00BCD8
#00B0F6	-0.0500059156690177	-0.104276077532735	10	19	#00B0F6
#619CFF	-0.0276311875746554	-0.35180917300236	11	19	#619CFF
#B983FF	-0.0304649989198496	0.281304483760352	12	19	#B983FF
#E76BF3	0.60368167617608	-0.0593418010256142	13	19	#E76BF3
#FD61D1	0.161135258219312	0.0401067879216379	14	19	#FD61D1
#FF67A4	-0.0174814586995922	-0.0680987259556483	15	19	#FF67A4
#F8766D	0.136601078718906	-0.27908846855629	1	20	#F8766D
#E58700	0.0351792958633443	-0.106616864432076	2	20	#E58700
#C99800	-0.000248374603628494	-0.134360963784223	3	20	#C99800
#A3A500	-0.0353262841210234	-0.0492805584222129	4	20	#A3A500
#6BB100	-0.102951078429805	-0.514330355205665	5	20	#6BB100
#00BA38	-0.087985907223966	-0.243902652933094	6	20	#00BA38
#00BF7D	-0.0917927200565144	0.199692444683006	7	20	#00BF7D
#00C0AF	0.00277999579773465	-0.633096804070037	8	20	#00C0AF
#00BCD8	0.362484231976241	-0.282988708075823	9	20	#00BCD8
#00B0F6	-0.0148784225027641	-0.157731960337152	10	20	#00B0F6
#619CFF	-0.0334122880415823	-0.317187962256269	11	20	#619CFF
#B983FF	-0.114062397602579	0.289316751895195	12	20	#B983FF
#E76BF3	0.564947201916243	-0.0535652678207793	13	20	#E76BF3
#FD61D1	0.109186372147626	0.0489850323790382	14	20	#FD61D1
#FF67A4	0.066961722358472	-0.00916895788107862	15	20	#FF67A4
#F8766D	0.117135445048495	-0.332720891334614	1	21	#F8766D
#E58700	0.0154119779314688	-0.148866244348654	2	21	#E58700
#C99800	-0.0330453987081292	-0.259710535736165	3	21	#C99800
#A3A500	-0.0269342862360047	0.011499965626158	4	21	#A3A500
#6BB100	-0.0901937811383012	-0.433377210858038	5	21	#6BB100
#00BA38	-0.0881919726989548	-0.228161653152839	6	21	#00BA38
#00BF7D	-0.0835501691243892	0.164059218560606	7	21	#00BF7D
#00C0AF	-0.0610478837257421	-0.579690635765813	8	21	#00C0AF
#00BCD8	0.322340223552762	-0.325149510434892	9	21	#00BCD8
#00B0F6	0.0568780146286054	-0.206600797769095	10	21	#00B0F6
#619CFF	-0.019221682743077	-0.301541992083326	11	21	#619CFF
#B983FF	-0.0379854046322001	0.248710065532782	12	21	#B983FF
#E76BF3	0.567500205025936	-0.0779717397631429	13	21	#E76BF3
#FD61D1	0.0422115361726509	0.00219704302159659	14	21	#FD61D1
#FF67A4	0.0232161092796838	-0.050789168736897	15	21	#FF67A4
#F8766D	0.106482613421478	-0.340145191402112	1	22	#F8766D
#E58700	0.0116204551222519	-0.179969161920245	2	22	#E58700
#C99800	-0.0103697068159248	-0.202971775728975	3	22	#C99800
#A3A500	-0.091396479239675	0.0183723920237109	4	22	#A3A500
#6BB100	-0.0983975930731936	-0.434312534815964	5	22	#6BB100
#00BA38	-0.0989324224890781	-0.175680735343399	6	22	#00BA38
#00BF7D	-0.17262024360392	0.152478004820539	7	22	#00BF7D
#00C0AF	-0.0317811801722607	-0.598566265544717	8	22	#00C0AF
#00BCD8	0.310813311609683	-0.37126191402518	9	22	#00BCD8
#00B0F6	0.0266418907911068	-0.203385802281551	10	22	#00B0F6
#619CFF	-0.0521551152687003	-0.354257876306504	11	22	#619CFF
#B983FF	-0.114634275017086	0.269039947885719	12	22	#B983FF
#E76BF3	0.585094863825948	-0.164510320762261	13	22	#E76BF3
#FD61D1	0.0327721617872794	-0.0677929798888905	14	22	#FD61D1
#FF67A4	0.0320559818148187	-0.028146766362791	15	22	#FF67A4
#F8766D	0.0638172097058603	-0.293783414515442	1	23	#F8766D
#E58700	0.0130273940978876	-0.162169247821617	2	23	#E58700
#C99800	0.0533059882804652	-0.22359855146897	3	23	#C99800
#A3A500	-0.106941185406311	0.0521525724797063	4	23	#A3A500
#6BB100	-0.0558243920304981	-0.420710767406589	5	23	#6BB100
#00BA38	-0.0968525712580301	-0.184129524784898	6	23	#00BA38
#00BF7D	-0.0932036504214754	0.22231893067738	7	23	#00BF7D
#00C0AF	-0.0840738778694375	-0.592724816258529	8	23	#00C0AF
#00BCD8	0.31609469007433	-0.374663375690726	9	23	#00BCD8
#00B0F6	0.0108669663479674	-0.179222632501104	10	23	#00B0F6
#619CFF	-0.0265444682025501	-0.401664409873893	11	23	#619CFF
#B983FF	-0.0761375877911812	0.28449710829469	12	23	#B983FF
#E76BF3	0.600390637140288	-0.177089465624807	13	23	#E76BF3
#FD61D1	0.0387188584309168	-0.144279315739919	14	23	#FD61D1
#FF67A4	0.0583215274093937	0.0150773197943619	15	23	#FF67A4
#F8766D	0.0602459883119448	-0.285413724311391	1	24	#F8766D
#E58700	0.0327562394113331	-0.188651036729696	2	24	#E58700
#C99800	0.00950029012703974	-0.282830845697866	3	24	#C99800
#A3A500	-0.13640143952539	0.0611981956774327	4	24	#A3A500
#6BB100	-0.0485406726402061	-0.382926693477499	5	24	#6BB100
#00BA38	-0.0954638823916171	-0.176894250367905	6	24	#00BA38
#00BF7D	-0.105081869286801	0.185176527765653	7	24	#00BF7D
#00C0AF	-0.0710285979381768	-0.571253459013258	8	24	#00C0AF
#00BCD8	0.394344064659241	-0.299780911626754	9	24	#00BCD8
#00B0F6	-0.0258980494109452	-0.166551480237612	10	24	#00B0F6
#619CFF	-0.0673593761860667	-0.340336925282963	11	24	#619CFF
#B983FF	-0.0444132695581502	0.316652356824433	12	24	#B983FF
#E76BF3	0.558814498787365	-0.165262459549919	13	24	#E76BF3
#FD61D1	0.036108841072044	-0.0984528842322877	14	24	#FD61D1
#FF67A4	0.0398392215156607	0.0283269058077497	15	24	#FF67A4
#F8766D	0.0383030195569653	-0.343369132908669	1	25	#F8766D
#E58700	0.0195534275891002	-0.213621302659583	2	25	#E58700
#C99800	0.0507315919087435	-0.309454528894677	3	25	#C99800
#A3A500	-0.155430743677883	0.00241654774541727	4	25	#A3A500
#6BB100	-0.186844927636646	-0.395517043778197	5	25	#6BB100
#00BA38	-0.0121544145745799	-0.181297209494911	6	25	#00BA38
#00BF7D	-0.167436230845517	0.206147094001778	7	25	#00BF7D
#00C0AF	0.0308473110763827	-0.643326046968835	8	25	#00C0AF
#00BCD8	0.491606719094035	-0.370239420813527	9	25	#00BCD8
#00B0F6	-0.0336609891074619	-0.191401829853726	10	25	#00B0F6
#619CFF	-0.0171680481559591	-0.365883435088438	11	25	#619CFF
#B983FF	-0.0380454725417914	0.328604900216939	12	25	#B983FF
#E76BF3	0.566922852506962	-0.147020455087012	13	25	#E76BF3
#FD61D1	0.00856631403401345	-0.12817236251588	14	25	#FD61D1
#FF67A4	-0.0046288195194496	-0.029810588696812	15	25	#FF67A4
#F8766D	0.0152643135898063	-0.337286631036593	1	26	#F8766D
#E58700	0.100597931517346	-0.215177423247485	2	26	#E58700
#C99800	0.0367737859672333	-0.373802079757903	3	26	#C99800
#A3A500	-0.094751183600317	-0.00998293665512547	4	26	#A3A500
#6BB100	-0.210526361910801	-0.454616518017946	5	26	#6BB100
#00BA38	-0.0726992469305113	-0.11076050214218	6	26	#00BA38
#00BF7D	-0.202013484214162	0.255944397730741	7	26	#00BF7D
#00C0AF	0.0692170722778817	-0.61797315694665	8	26	#00C0AF
#00BCD8	0.48555138994761	-0.323613072494957	9	26	#00BCD8
#00B0F6	-0.107646945854719	-0.259960051476192	10	26	#00B0F6
#619CFF	0.00479932765401273	-0.343231387019641	11	26	#619CFF
#B983FF	-0.0521122275975732	0.263852316816063	12	26	#B983FF
#E76BF3	0.518598370974386	-0.172792991148315	13	26	#E76BF3
#FD61D1	0.0668922555896841	-0.0759099994443992	14	26	#FD61D1
#FF67A4	-0.0441620658926049	-0.0396553802559869	15	26	#FF67A4
#F8766D	0.0483204152820636	-0.493603493804732	1	27	#F8766D
#E58700	0.0330942779571459	-0.293711330417739	2	27	#E58700
#C99800	0.130283777012934	-0.445116013946758	3	27	#C99800
#A3A500	-0.0678936977339797	-0.00755195736015769	4	27	#A3A500
#6BB100	-0.223827441662523	-0.530674737597103	5	27	#6BB100
#00BA38	-0.103771924456577	-0.131425958522691	6	27	#00BA38
#00BF7D	-0.205363967159661	0.246554569834585	7	27	#00BF7D
#00C0AF	0.0600979842419189	-0.632117347556853	8	27	#00C0AF
#00BCD8	0.473416006918156	-0.38846049253358	9	27	#00BCD8
#00B0F6	-0.0824249410996958	-0.238400141156569	10	27	#00B0F6
#619CFF	-0.0681874756476281	-0.328156431888258	11	27	#619CFF
#B983FF	-0.0367892525377945	0.282523024581553	12	27	#B983FF
